inputId,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
5501,high,0,2,1,36-60,1-3 months,pay duly,pay duly,pay duly,pay duly,1-3 months,low,low,low,low,low,low,low,1
5502,medium,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5503,medium,0,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,1-3 months,low,low,low,low,low,low,low,0
5504,high,0,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,medium,low,low,low,low,low,low,0
5505,low,1,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5506,medium,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5507,medium,0,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5508,medium,1,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5509,high,1,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,0
5510,medium,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5511,low,1,1,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5512,medium,0,3,1,>60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,1
5513,medium,0,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5514,high,0,1,2,36-60,1-3 months,pay duly,1-3 months,pay duly,pay duly,1-3 months,medium,low,low,low,low,low,low,0
5515,low,0,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
5516,medium,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5517,high,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5518,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5519,medium,0,2,1,36-60,1-3 months,1-3 months,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5520,low,1,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5521,low,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5522,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5523,high,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5524,medium,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5525,medium,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5526,high,1,1,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5527,low,1,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5528,medium,0,1,2,≤35,1-3 months,pay duly,pay duly,1-3 months,1-3 months,1-3 months,low,medium,low,low,low,low,low,0
5529,medium,1,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,pay duly,medium,low,low,low,low,low,low,0
5530,low,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5531,medium,0,2,2,≤35,1-3 months,pay duly,pay duly,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,0
5532,high,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5533,high,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,medium,low,low,low,low,low,low,1
5534,low,1,2,2,≤35,1-3 months,1-3 months,1-3 months,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
5535,medium,0,1,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5536,low,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5537,medium,1,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5538,low,0,3,2,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
5539,high,1,1,1,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,medium,low,low,low,low,low,0
5540,low,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5541,low,1,3,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5542,high,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5543,medium,1,3,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5544,medium,1,1,2,≤35,1-3 months,pay duly,pay duly,1-3 months,pay duly,pay duly,low,low,low,low,low,low,low,0
5545,low,0,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5546,low,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5547,high,0,2,1,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5548,high,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,pay duly,medium,low,low,low,low,low,medium,0
5549,low,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5550,medium,1,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5551,low,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5552,low,1,2,2,≤35,1-3 months,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5553,high,0,2,1,36-60,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5554,high,0,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5555,medium,0,5,1,≤35,pay duly,pay duly,pay duly,pay duly,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5556,low,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5557,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
5558,medium,0,2,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
5559,medium,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5560,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5561,low,1,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
5562,medium,1,1,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5563,high,0,1,2,≤35,pay duly,pay duly,pay duly,1-3 months,1-3 months,1-3 months,low,low,medium,low,low,low,low,0
5564,medium,0,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
5565,high,0,1,1,36-60,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5566,medium,0,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5567,medium,0,3,2,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5568,low,1,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5569,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5570,medium,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,0
5571,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
5572,medium,0,2,1,>60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5573,high,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5574,low,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
5575,high,0,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5576,medium,1,2,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
5577,low,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5578,medium,0,3,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5579,low,0,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
5580,high,1,1,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5581,high,1,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5582,medium,1,2,1,≤35,1-3 months,1-3 months,1-3 months,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5583,medium,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5584,medium,0,2,1,36-60,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5585,high,1,3,1,36-60,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,medium,low,low,low,low,low,low,0
5586,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5587,high,0,3,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
5588,medium,0,3,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5589,low,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5590,medium,0,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5591,low,0,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5592,low,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5593,high,0,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5594,low,0,2,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5595,medium,0,2,1,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5596,high,0,1,2,36-60,pay duly,pay duly,pay duly,1-3 months,1-3 months,pay duly,low,low,medium,low,low,low,low,0
5597,low,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,pay duly,low,low,low,low,low,low,low,1
5598,high,0,1,2,36-60,pay duly,pay duly,pay duly,pay duly,1-3 months,pay duly,low,low,low,low,low,low,low,0
5599,high,1,3,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5600,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
5601,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5602,low,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5603,high,0,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5604,medium,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
5605,high,0,1,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,0
5606,low,0,3,1,36-60,pay duly,pay duly,pay duly,1-3 months,pay duly,pay duly,low,low,low,low,low,low,low,0
5607,high,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5608,medium,0,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5609,medium,1,2,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5610,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
5611,low,1,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5612,medium,0,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5613,medium,0,3,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5614,low,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5615,high,0,2,2,≤35,pay duly,pay duly,pay duly,pay duly,1-3 months,1-3 months,low,low,medium,low,low,low,low,0
5616,low,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5617,low,0,2,2,≤35,1-3 months,1-3 months,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5618,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5619,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5620,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5621,low,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,0
5622,medium,1,3,2,36-60,1-3 months,1-3 months,pay duly,1-3 months,pay duly,pay duly,low,low,low,low,low,low,low,0
5623,medium,0,3,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5624,high,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,0
5625,high,0,1,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,0
5626,high,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
5627,medium,0,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5628,low,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5629,medium,0,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5630,low,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
5631,medium,1,3,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5632,medium,1,5,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5633,high,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,0
5634,medium,0,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5635,high,0,1,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5636,high,0,2,2,36-60,pay duly,pay duly,pay duly,1-3 months,pay duly,pay duly,low,low,low,low,low,low,low,0
5637,medium,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5638,low,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5639,medium,1,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5640,high,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,pay duly,low,low,low,low,low,low,low,0
5641,medium,0,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5642,medium,0,2,2,36-60,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5643,high,0,2,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5644,high,1,1,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,medium,low,low,low,medium,0
5645,medium,0,2,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
5646,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,pay duly,low,low,low,low,low,low,low,0
5647,low,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
5648,low,1,3,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5649,high,1,1,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,high,low,low,low,low,low,low,0
5650,low,0,2,2,36-60,1-3 months,pay duly,pay duly,pay duly,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5651,low,0,2,2,≤35,pay duly,1-3 months,pay duly,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5652,high,0,1,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,1-3 months,low,low,low,low,low,low,low,1
5653,low,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5654,high,0,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5655,low,1,2,2,≤35,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5656,high,1,2,1,36-60,1-3 months,pay duly,pay duly,1-3 months,1-3 months,1-3 months,low,low,medium,low,low,low,low,0
5657,medium,0,3,1,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5658,low,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
5659,low,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5660,low,1,2,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5661,high,0,2,1,36-60,pay duly,pay duly,1-3 months,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5662,medium,0,2,1,≤35,pay duly,pay duly,pay duly,pay duly,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5663,high,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,medium,0
5664,low,0,1,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5665,high,0,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,1
5666,high,1,1,2,≤35,1-3 months,1-3 months,1-3 months,pay duly,pay duly,pay duly,high,low,low,low,low,medium,medium,0
5667,high,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5668,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
5669,low,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
5670,high,0,2,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5671,medium,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5672,low,0,1,2,≤35,1-3 months,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,low,medium,low,low,low,low,low,0
5673,medium,1,2,2,36-60,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5674,medium,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
5675,medium,0,2,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5676,medium,1,2,2,36-60,1-3 months,1-3 months,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5677,low,1,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5678,medium,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5679,low,0,3,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5680,high,0,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5681,low,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
5682,low,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
5683,low,0,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5684,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5685,medium,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5686,medium,1,1,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5687,high,0,1,1,36-60,1-3 months,1-3 months,pay duly,1-3 months,1-3 months,1-3 months,medium,high,medium,low,low,low,low,0
5688,high,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,0
5689,medium,1,2,2,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5690,medium,1,1,2,36-60,pay duly,pay duly,pay duly,1-3 months,pay duly,pay duly,low,low,low,low,low,low,low,1
5691,high,1,2,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,medium,0
5692,low,0,1,2,≤35,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,1
5693,low,0,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5694,high,1,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
5695,low,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5696,medium,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5697,medium,0,1,2,≤35,1-3 months,1-3 months,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
5698,medium,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5699,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
5700,medium,0,1,1,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
5701,high,0,1,1,36-60,pay duly,pay duly,pay duly,pay duly,1-3 months,1-3 months,low,low,low,medium,low,low,low,0
5702,high,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5703,high,0,2,1,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
5704,high,0,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
5705,medium,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
5706,high,0,1,3,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,medium,low,medium,low,low,medium,low,0
5707,low,0,5,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
5708,high,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,0
5709,medium,1,3,1,>60,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,pay duly,medium,low,low,low,low,low,low,0
5710,low,0,1,2,≤35,pay duly,pay duly,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,1
